Region,Date,Temperature_C,Precipitation_mm,Humidity_percent,Min_Temperature_C,Max_Temperature_C,Wind_Speed_kmh,Atmospheric_Pressure_hPa,Heat_Index_C
Andhra Pradesh,2024-01-01,19.7,0.0,86.5,13.0,27.6,10.7,1005.5,19.7
Arunachal Pradesh,2024-01-01,-15.2,0.0,68.4,-23.3,-8.3,34.1,776.4,-15.2
Assam,2024-01-01,15.8,0.0,83.1,6.6,22.9,3.0,1010.9,15.8
Bihar,2024-01-01,21.9,1.1,61.9,19.6,23.7,6.6,1002.4,21.9
Chhattisgarh,2024-01-01,15.5,0.0,72.7,9.3,19.2,3.2,979.5,15.5
Goa,2024-01-01,22.6,15.1,83.6,20.7,24.4,13.9,996.8,22.6
Gujarat,2024-01-01,15.4,2.5,15.0,9.6,20.4,11.1,1006.4,15.4
Haryana,2024-01-01,9.0,0.0,39.7,4.0,16.8,10.3,997.3,9.0
Himachal Pradesh,2024-01-01,-23.0,0.0,91.7,-28.3,-17.3,33.7,740.7,-23.0
Jharkhand,2024-01-01,14.4,0.0,77.4,6.5,20.0,13.2,983.0,14.4
Karnataka,2024-01-01,14.0,1.3,70.9,6.6,22.6,8.5,926.0,14.0
Kerala,2024-01-01,28.9,0.5,84.6,23.4,34.4,17.4,1011.5,35.5
Madhya Pradesh,2024-01-01,14.0,0.0,69.7,11.0,17.7,12.5,953.0,14.0
Maharashtra,2024-01-01,13.5,0.1,41.0,9.6,18.2,9.9,941.7,13.5
Manipur,2024-01-01,11.5,0.0,68.4,2.0,17.5,5.3,921.7,11.5
Meghalaya,2024-01-01,10.9,0.4,77.4,2.4,18.2,2.7,878.6,10.9
Mizoram,2024-01-01,8.2,0.0,84.7,2.8,10.7,9.1,901.8,8.2
Nagaland,2024-01-01,1.2,0.8,80.2,-6.2,6.8,5.0,871.8,1.2
Odisha,2024-01-01,17.9,2.6,70.6,15.1,23.2,1.4,1004.0,17.9
Punjab,2024-01-01,13.0,0.0,52.5,8.9,17.1,5.7,994.1,13.0
Rajasthan,2024-01-01,7.4,0.0,24.2,-6.2,21.9,8.9,991.4,7.4
Sikkim,2024-01-01,-11.0,0.0,64.3,-17.4,-6.2,38.9,789.1,-11.0
Tamil Nadu,2024-01-01,25.9,2.0,95.7,22.4,30.6,16.9,998.7,25.9
Telangana,2024-01-01,18.2,0.8,42.1,10.3,27.4,8.6,955.4,18.2
Tripura,2024-01-01,17.8,0.0,59.7,8.5,23.5,8.5,1018.8,17.8
Uttar Pradesh,2024-01-01,10.3,0.5,68.1,4.0,18.4,9.5,1005.9,10.3
Uttarakhand,2024-01-01,-3.9,0.0,72.9,-15.5,2.7,30.8,858.9,-3.9
West Bengal,2024-01-01,25.6,0.5,69.3,17.1,32.8,17.5,1013.1,25.6
Andaman and Nicobar Islands,2024-01-01,19.8,0.4,98.0,16.1,22.6,17.7,1019.7,19.8
Chandigarh,2024-01-01,11.1,0.0,59.1,0.5,20.1,10.3,977.5,11.1
Dadra and Nagar Haveli and Daman and Diu,2024-01-01,23.8,0.0,95.3,22.0,29.4,11.8,1006.3,23.8
Delhi,2024-01-01,9.8,0.7,25.7,5.0,14.9,6.3,989.3,9.8
Jammu and Kashmir,2024-01-01,-12.3,0.0,73.9,-21.0,-2.8,26.3,821.4,-12.3
Ladakh,2024-01-01,-35.1,0.0,40.5,-47.3,-19.7,12.8,602.1,-35.1
Lakshadweep,2024-01-01,23.3,0.2,98.0,16.6,29.3,17.1,1021.5,23.3
Puducherry,2024-01-01,18.5,0.0,97.6,16.2,24.0,7.4,1025.6,18.5
Andhra Pradesh,2024-01-02,17.2,0.4,73.8,14.9,21.0,14.2,1000.5,17.2
Arunachal Pradesh,2024-01-02,-13.6,0.6,67.4,-18.2,-11.5,27.0,763.4,-13.6
Assam,2024-01-02,16.3,0.0,75.5,14.3,18.4,0.9,1001.4,16.3
Bihar,2024-01-02,13.4,0.0,72.1,7.1,20.4,6.8,1007.1,13.4
Chhattisgarh,2024-01-02,11.9,0.3,74.2,8.8,15.7,8.4,973.6,11.9
Goa,2024-01-02,16.0,0.6,98.0,14.1,18.0,18.8,1022.6,16.0
Gujarat,2024-01-02,8.8,0.0,15.0,-2.9,20.4,9.4,1010.2,8.8
Haryana,2024-01-02,11.7,0.0,36.4,6.6,20.2,2.8,986.9,11.7
Himachal Pradesh,2024-01-02,-20.7,0.0,84.2,-22.9,-16.3,35.5,750.4,-20.7
Jharkhand,2024-01-02,20.9,0.0,80.8,16.8,26.8,7.7,984.5,20.9
Karnataka,2024-01-02,7.8,1.0,76.7,0.6,14.7,6.5,925.1,7.8
Kerala,2024-01-02,27.7,7.0,94.3,25.4,33.7,15.2,1012.1,34.0
Madhya Pradesh,2024-01-02,14.8,0.0,62.0,7.3,22.3,9.3,952.9,14.8
Maharashtra,2024-01-02,13.8,0.3,49.5,10.4,20.4,11.9,944.3,13.8
Manipur,2024-01-02,7.9,0.0,78.1,0.7,16.7,15.9,925.8,7.9
Meghalaya,2024-01-02,0.4,1.8,88.1,-6.3,6.7,12.8,880.7,0.4
Mizoram,2024-01-02,2.6,0.3,86.7,-2.0,12.3,8.3,897.8,2.6
Nagaland,2024-01-02,1.6,0.2,86.6,-5.4,6.4,8.3,884.0,1.6
Odisha,2024-01-02,19.2,0.3,81.7,10.6,26.6,1.0,1006.9,19.2
Punjab,2024-01-02,14.5,0.0,45.7,7.0,24.2,7.6,983.1,14.5
Rajasthan,2024-01-02,7.2,0.0,21.9,-4.7,22.4,8.8,979.0,7.2
Sikkim,2024-01-02,-8.5,15.9,64.4,-18.8,-0.2,40.0,775.1,-8.5
Tamil Nadu,2024-01-02,22.7,0.0,98.0,21.0,26.1,8.0,1003.0,22.7
Telangana,2024-01-02,14.5,1.3,49.9,8.4,20.9,5.4,961.3,14.5
Tripura,2024-01-02,17.4,0.0,70.8,12.7,25.1,4.5,1011.7,17.4
Uttar Pradesh,2024-01-02,16.1,0.0,60.6,7.9,20.9,0.0,1000.5,16.1
Uttarakhand,2024-01-02,-1.9,2.3,67.4,-11.3,7.2,27.5,874.1,-1.9
West Bengal,2024-01-02,18.7,1.7,68.1,10.4,23.6,9.8,1011.2,18.7
Andaman and Nicobar Islands,2024-01-02,25.8,0.2,87.2,19.1,31.3,26.1,1013.4,25.8
Chandigarh,2024-01-02,13.1,0.4,62.9,7.0,19.4,9.1,975.1,13.1
Dadra and Nagar Haveli and Daman and Diu,2024-01-02,21.6,0.0,90.9,17.7,25.6,8.9,1020.7,21.6
Delhi,2024-01-02,18.2,0.0,40.2,11.2,27.1,12.3,994.7,18.2
Jammu and Kashmir,2024-01-02,-17.8,0.0,79.4,-22.4,-14.4,35.9,815.1,-17.8
Ladakh,2024-01-02,-37.5,2.2,35.9,-50.3,-25.2,18.4,597.7,-37.5
Lakshadweep,2024-01-02,28.1,0.1,98.0,25.9,34.1,25.6,1014.6,36.2
Puducherry,2024-01-02,27.8,1.1,81.2,26.3,29.8,15.6,1025.1,31.8
Andhra Pradesh,2024-01-03,21.2,0.0,73.4,14.1,27.2,9.6,1001.8,21.2
Arunachal Pradesh,2024-01-03,-13.6,0.0,80.5,-24.9,-4.7,33.9,759.2,-13.6
Assam,2024-01-03,20.7,0.0,72.8,14.6,26.8,11.5,1012.4,20.7
Bihar,2024-01-03,19.8,0.0,66.8,13.2,25.9,5.7,1006.4,19.8
Chhattisgarh,2024-01-03,21.8,0.3,56.3,15.6,28.1,12.4,986.6,21.8
Goa,2024-01-03,21.6,0.1,93.2,18.2,23.5,23.5,1011.2,21.6
Gujarat,2024-01-03,14.7,0.0,15.0,3.5,27.1,7.6,1009.1,14.7
Haryana,2024-01-03,10.7,0.0,49.0,0.5,17.5,12.6,1003.1,10.7
Himachal Pradesh,2024-01-03,-19.7,0.5,78.2,-29.6,-9.9,30.4,743.1,-19.7
Jharkhand,2024-01-03,8.0,0.0,89.2,2.9,12.3,4.0,976.9,8.0
Karnataka,2024-01-03,14.4,0.0,60.7,5.5,23.2,13.4,933.6,14.4
Kerala,2024-01-03,26.7,2.3,88.3,23.2,28.7,10.7,1024.2,26.7
Madhya Pradesh,2024-01-03,10.3,0.0,68.3,-2.0,21.4,3.2,960.2,10.3
Maharashtra,2024-01-03,14.5,0.1,50.2,8.1,23.8,8.0,946.6,14.5
Manipur,2024-01-03,6.8,0.6,89.4,-0.9,15.6,5.2,922.0,6.8
Meghalaya,2024-01-03,2.5,1.4,81.0,-1.4,5.6,0.2,872.5,2.5
Mizoram,2024-01-03,7.4,0.0,70.3,1.7,16.6,13.8,903.7,7.4
Nagaland,2024-01-03,3.3,0.0,80.8,-2.6,9.5,7.8,868.3,3.3
Odisha,2024-01-03,23.8,0.5,63.7,19.7,27.7,11.9,1001.6,23.8
Punjab,2024-01-03,14.6,0.0,45.8,9.1,20.9,14.2,986.7,14.6
Rajasthan,2024-01-03,15.3,0.9,15.0,3.7,25.2,10.4,977.6,15.3
Sikkim,2024-01-03,-5.4,0.0,65.3,-12.7,-1.6,35.1,789.5,-5.4
Tamil Nadu,2024-01-03,26.9,0.3,97.2,19.2,32.9,13.9,1003.3,26.9
Telangana,2024-01-03,23.5,0.4,54.9,18.8,29.6,13.7,957.8,23.5
Tripura,2024-01-03,21.6,1.6,59.0,13.6,30.0,9.4,1010.2,21.6
Uttar Pradesh,2024-01-03,14.8,0.7,58.7,10.4,20.1,8.4,1000.3,14.8
Uttarakhand,2024-01-03,-13.4,0.4,85.9,-23.6,-2.4,32.5,855.1,-13.4
West Bengal,2024-01-03,23.0,0.0,55.0,19.0,26.9,7.0,1027.7,23.0
Andaman and Nicobar Islands,2024-01-03,23.5,4.4,98.0,19.0,25.2,19.2,1018.4,23.5
Chandigarh,2024-01-03,10.5,1.1,65.2,1.4,16.7,7.3,968.6,10.5
Dadra and Nagar Haveli and Daman and Diu,2024-01-03,21.5,0.0,98.0,18.8,24.8,11.6,1014.8,21.5
Delhi,2024-01-03,12.5,1.5,46.8,4.0,20.9,8.0,1002.7,12.5
Jammu and Kashmir,2024-01-03,-18.2,0.0,86.1,-25.1,-14.9,36.8,815.0,-18.2
Ladakh,2024-01-03,-28.9,0.0,41.5,-39.6,-21.8,11.8,601.8,-28.9
Lakshadweep,2024-01-03,21.9,0.8,98.0,17.0,23.4,12.6,1017.7,21.9
Puducherry,2024-01-03,20.0,1.4,92.6,15.4,23.4,6.8,1024.8,20.0
Andhra Pradesh,2024-01-04,21.6,0.0,72.9,16.7,27.2,14.5,1003.2,21.6
Arunachal Pradesh,2024-01-04,-8.9,0.0,80.9,-16.0,-1.4,34.4,766.3,-8.9
Assam,2024-01-04,20.5,0.0,69.6,16.3,24.5,5.7,1005.7,20.5
Bihar,2024-01-04,15.2,0.3,73.1,10.8,21.7,7.0,1016.2,15.2
Chhattisgarh,2024-01-04,15.3,0.2,67.9,4.8,23.0,2.1,977.1,15.3
Goa,2024-01-04,22.1,6.4,98.0,17.5,27.9,10.8,1015.8,22.1
Gujarat,2024-01-04,16.4,0.0,30.3,-1.1,32.2,9.8,1008.4,16.4
Haryana,2024-01-04,12.5,0.3,58.0,6.5,16.8,8.0,999.5,12.5
Himachal Pradesh,2024-01-04,-16.1,0.0,83.3,-25.4,-4.1,33.7,740.8,-16.1
Jharkhand,2024-01-04,9.9,0.6,85.4,-0.4,18.0,11.6,981.5,9.9
Karnataka,2024-01-04,14.4,1.5,63.4,10.9,20.2,13.4,919.3,14.4
Kerala,2024-01-04,19.4,0.0,90.8,16.1,21.9,12.6,1019.3,19.4
Madhya Pradesh,2024-01-04,10.0,0.0,62.6,4.8,15.2,0.0,955.3,10.0
Maharashtra,2024-01-04,19.0,1.5,44.0,11.6,24.7,18.6,932.3,19.0
Manipur,2024-01-04,5.6,1.2,80.8,-3.8,15.6,12.5,923.7,5.6
Meghalaya,2024-01-04,1.2,0.4,87.7,-4.4,5.8,6.7,867.8,1.2
Mizoram,2024-01-04,4.3,0.0,85.2,-5.1,11.8,8.0,891.4,4.3
Nagaland,2024-01-04,-3.2,2.9,77.8,-11.3,4.6,14.3,878.7,-3.2
Odisha,2024-01-04,16.6,1.2,80.2,9.8,26.6,15.3,1009.7,16.6
Punjab,2024-01-04,17.7,1.9,45.7,10.1,26.3,7.2,980.8,17.7
Rajasthan,2024-01-04,11.6,0.0,17.4,0.7,20.7,11.1,991.0,11.6
Sikkim,2024-01-04,-13.8,0.0,77.8,-17.2,-8.9,38.5,785.1,-13.8
Tamil Nadu,2024-01-04,21.4,14.8,98.0,17.9,24.5,19.1,1014.4,21.4
Telangana,2024-01-04,21.7,0.0,31.2,11.7,30.4,12.8,962.7,21.7
Tripura,2024-01-04,16.6,0.0,72.2,10.3,25.0,9.2,1002.7,16.6
Uttar Pradesh,2024-01-04,13.2,1.2,58.7,7.0,19.8,1.8,1001.1,13.2
Uttarakhand,2024-01-04,-2.0,0.0,78.3,-8.2,6.6,25.4,865.6,-2.0
West Bengal,2024-01-04,17.6,1.3,81.1,15.0,23.4,15.0,1020.0,17.6
Andaman and Nicobar Islands,2024-01-04,20.3,0.0,98.0,13.4,24.6,17.6,1015.9,20.3
Chandigarh,2024-01-04,12.6,1.1,76.9,11.4,13.9,8.2,966.2,12.6
Dadra and Nagar Haveli and Daman and Diu,2024-01-04,19.9,0.9,96.2,17.6,23.4,19.5,1025.0,19.9
Delhi,2024-01-04,9.4,0.2,36.1,2.8,18.9,3.8,993.7,9.4
Jammu and Kashmir,2024-01-04,-11.2,1.1,72.9,-22.8,1.6,36.6,811.3,-11.2
Ladakh,2024-01-04,-27.8,0.0,34.6,-33.7,-23.2,21.3,608.4,-27.8
Lakshadweep,2024-01-04,24.8,0.0,98.0,23.3,27.7,22.5,1013.1,24.8
Puducherry,2024-01-04,24.5,0.3,93.5,19.0,29.7,17.4,1015.9,24.5
Andhra Pradesh,2024-01-05,23.7,0.3,70.9,15.6,29.8,7.7,1005.1,23.7
Arunachal Pradesh,2024-01-05,-8.3,0.0,73.6,-19.9,1.9,31.8,770.7,-8.3
Assam,2024-01-05,17.4,0.1,70.2,9.3,24.4,4.7,1002.5,17.4
Bihar,2024-01-05,20.1,2.5,65.6,11.1,27.8,9.3,1008.3,20.1
Chhattisgarh,2024-01-05,19.7,0.1,71.4,15.5,25.6,11.3,977.7,19.7
Goa,2024-01-05,23.2,0.0,98.0,21.3,24.8,20.7,1015.5,23.2
Gujarat,2024-01-05,22.2,0.0,15.0,12.4,33.0,10.4,1009.4,22.2
Haryana,2024-01-05,13.2,0.0,57.1,9.9,16.9,6.1,985.0,13.2
Himachal Pradesh,2024-01-05,-14.8,0.8,78.0,-23.8,-9.1,34.3,742.0,-14.8
Jharkhand,2024-01-05,9.2,0.0,85.5,4.5,17.4,5.9,986.3,9.2
Karnataka,2024-01-05,13.9,0.0,57.4,8.8,23.3,14.5,912.0,13.9
Kerala,2024-01-05,24.6,0.5,93.1,23.1,26.8,16.8,1017.7,24.6
Madhya Pradesh,2024-01-05,15.5,0.2,64.9,8.4,23.2,5.4,945.8,15.5
Maharashtra,2024-01-05,14.0,0.3,52.4,10.8,20.5,16.5,951.6,14.0
Manipur,2024-01-05,14.7,0.0,80.2,11.6,20.5,13.7,926.1,14.7
Meghalaya,2024-01-05,4.8,0.6,91.2,-3.5,11.2,8.3,876.1,4.8
Mizoram,2024-01-05,-1.6,1.3,80.8,-13.8,7.4,5.3,893.8,-1.6
Nagaland,2024-01-05,0.2,0.5,72.2,-3.3,8.1,6.3,867.3,0.2
Odisha,2024-01-05,19.1,0.9,56.9,9.7,27.0,15.5,1007.6,19.1
Punjab,2024-01-05,17.3,0.0,58.8,11.1,26.2,3.7,987.0,17.3
Rajasthan,2024-01-05,11.6,0.0,26.1,-2.3,26.7,11.7,990.6,11.6
Sikkim,2024-01-05,-10.6,0.3,75.9,-16.4,-8.1,29.7,791.5,-10.6
Tamil Nadu,2024-01-05,22.4,1.3,92.5,18.8,25.2,12.9,1003.7,22.4
Telangana,2024-01-05,22.4,0.0,31.1,17.5,25.3,6.0,960.9,22.4
Tripura,2024-01-05,23.1,0.0,67.5,12.5,31.7,12.6,1012.8,23.1
Uttar Pradesh,2024-01-05,19.8,0.0,43.3,12.0,24.5,2.2,1001.9,19.8
Uttarakhand,2024-01-05,-4.4,0.2,69.7,-12.4,2.4,44.9,853.2,-4.4
West Bengal,2024-01-05,16.3,1.1,77.4,13.9,20.0,13.3,1010.4,16.3
Andaman and Nicobar Islands,2024-01-05,21.7,0.0,94.6,15.2,24.1,14.0,1009.8,21.7
Chandigarh,2024-01-05,15.2,0.6,63.4,8.3,23.3,9.3,975.0,15.2
Dadra and Nagar Haveli and Daman and Diu,2024-01-05,27.0,1.9,98.0,21.4,31.1,19.2,1019.6,27.0
Delhi,2024-01-05,16.7,0.0,36.4,11.6,23.2,7.7,995.6,16.7
Jammu and Kashmir,2024-01-05,-14.1,0.0,69.7,-18.3,-9.2,34.3,822.4,-14.1
Ladakh,2024-01-05,-33.5,0.0,35.4,-44.2,-20.3,14.6,601.4,-33.5
Lakshadweep,2024-01-05,25.0,0.2,98.0,23.8,26.7,8.7,1023.6,25.0
Puducherry,2024-01-05,20.8,0.0,98.0,16.2,23.3,9.3,1027.8,20.8
Andhra Pradesh,2024-01-06,23.7,0.0,55.9,21.0,30.7,14.4,998.1,23.7
Arunachal Pradesh,2024-01-06,-7.0,17.0,61.6,-14.3,2.6,33.9,749.0,-7.0
Assam,2024-01-06,21.0,0.7,70.2,14.3,29.0,6.2,1013.2,21.0
Bihar,2024-01-06,14.1,0.0,79.8,11.5,16.8,4.8,1014.6,14.1
Chhattisgarh,2024-01-06,13.0,0.0,67.4,12.1,14.3,5.1,984.4,13.0
Goa,2024-01-06,23.2,0.0,93.3,20.6,25.6,14.9,1016.6,23.2
Gujarat,2024-01-06,12.8,0.0,22.6,-3.9,28.0,14.2,1006.1,12.8
Haryana,2024-01-06,15.8,0.1,40.9,9.8,21.9,3.4,984.2,15.8
Himachal Pradesh,2024-01-06,-16.2,1.2,77.2,-26.7,-6.8,27.9,750.2,-16.2
Jharkhand,2024-01-06,15.2,0.0,92.5,6.4,24.0,9.3,987.3,15.2
Karnataka,2024-01-06,7.4,2.4,63.1,3.8,12.4,14.8,922.2,7.4
Kerala,2024-01-06,22.1,0.0,98.0,14.6,27.4,18.7,1000.5,22.1
Madhya Pradesh,2024-01-06,13.6,0.6,51.8,10.0,16.1,4.3,951.5,13.6
Maharashtra,2024-01-06,7.9,0.7,52.0,4.2,9.6,8.9,953.6,7.9
Manipur,2024-01-06,8.7,0.0,75.9,2.1,15.3,4.6,938.2,8.7
Meghalaya,2024-01-06,8.3,0.2,94.3,0.5,17.5,8.4,871.9,8.3
Mizoram,2024-01-06,2.3,0.0,95.4,-2.6,10.0,2.7,910.2,2.3
Nagaland,2024-01-06,3.0,0.0,89.6,-2.5,8.7,6.4,872.4,3.0
Odisha,2024-01-06,23.4,0.8,74.8,18.0,29.4,8.2,1006.9,23.4
Punjab,2024-01-06,12.1,0.9,55.2,6.5,18.5,1.3,985.7,12.1
Rajasthan,2024-01-06,17.6,1.4,17.5,3.0,32.4,5.6,977.1,17.6
Sikkim,2024-01-06,-12.4,0.2,80.4,-19.5,-2.6,39.7,798.7,-12.4
Tamil Nadu,2024-01-06,27.2,1.8,90.8,22.9,32.0,15.6,1004.8,31.9
Telangana,2024-01-06,16.7,0.0,54.3,8.9,22.6,10.5,964.6,16.7
Tripura,2024-01-06,13.9,0.0,77.3,8.4,18.0,9.7,1000.3,13.9
Uttar Pradesh,2024-01-06,15.2,6.5,72.1,11.0,22.5,4.4,1006.4,15.2
Uttarakhand,2024-01-06,-6.2,0.0,73.6,-11.7,-1.1,29.9,863.8,-6.2
West Bengal,2024-01-06,27.1,0.0,63.0,18.5,34.2,12.2,1016.0,28.4
Andaman and Nicobar Islands,2024-01-06,19.2,0.1,98.0,17.5,19.6,20.9,1016.8,19.2
Chandigarh,2024-01-06,11.0,0.0,74.5,8.4,16.5,4.1,982.8,11.0
Dadra and Nagar Haveli and Daman and Diu,2024-01-06,22.4,0.1,98.0,15.1,29.1,8.5,1013.2,22.4
Delhi,2024-01-06,8.3,1.1,59.5,1.1,15.3,8.4,987.3,8.3
Jammu and Kashmir,2024-01-06,-14.4,0.2,75.3,-22.7,-6.9,43.4,829.7,-14.4
Ladakh,2024-01-06,-28.9,0.0,36.8,-40.0,-21.7,8.8,595.1,-28.9
