Region,Date,Temperature_C,Precipitation_mm,Humidity_percent,Min_Temperature_C,Max_Temperature_C,Wind_Speed_kmh,Atmospheric_Pressure_hPa,Heat_Index_C,Year,Month,Day,DayOfYear,Temperature_Range,Comfort_Index,Season,Weather_Severity,Pressure_Category
Andhra Pradesh,2024-01-01,19.7,0.0,86.5,13.0,27.6,10.7,1005.5,19.7,2024,1,1,1,14.600000000000001,0,Winter,0,Normal
Arunachal Pradesh,2024-01-01,-15.2,0.0,68.4,-23.3,-8.3,34.1,850.0,-15.2,2024,1,1,1,15.0,0,Winter,1,Low
Assam,2024-01-01,15.8,0.0,83.1,6.6,22.9,3.0,1010.9,15.8,2024,1,1,1,16.299999999999997,0,Winter,0,Normal
Bihar,2024-01-01,21.9,1.1,61.9,19.6,23.7,6.6,1002.4,21.9,2024,1,1,1,4.099999999999998,1,Winter,0,Normal
Chhattisgarh,2024-01-01,15.5,0.0,72.7,9.3,19.2,3.2,979.5,15.5,2024,1,1,1,9.899999999999999,0,Winter,0,Low
Goa,2024-01-01,22.6,15.1,83.6,20.7,24.4,13.9,996.8,22.6,2024,1,1,1,3.6999999999999993,0,Winter,0,Low
Gujarat,2024-01-01,15.4,2.5,15.0,9.6,20.4,11.1,1006.4,15.4,2024,1,1,1,10.799999999999999,0,Winter,0,Normal
Haryana,2024-01-01,9.0,0.0,39.7,4.0,16.8,10.3,997.3,9.0,2024,1,1,1,12.8,0,Winter,0,Low
Himachal Pradesh,2024-01-01,-20.0,0.0,91.7,-25.0,-15.0,33.7,850.0,-23.0,2024,1,1,1,10.0,0,Winter,1,Low
Jharkhand,2024-01-01,14.4,0.0,77.4,6.5,20.0,13.2,983.0,14.4,2024,1,1,1,13.5,0,Winter,0,Low
Karnataka,2024-01-01,14.0,1.3,70.9,6.6,22.6,8.5,926.0,14.0,2024,1,1,1,16.0,0,Winter,0,Low
Kerala,2024-01-01,28.9,0.5,84.6,23.4,34.4,17.4,1011.5,35.5,2024,1,1,1,11.0,0,Winter,0,Normal
Madhya Pradesh,2024-01-01,14.0,0.0,69.7,11.0,17.7,12.5,953.0,14.0,2024,1,1,1,6.699999999999999,0,Winter,0,Low
Maharashtra,2024-01-01,13.5,0.1,41.0,9.6,18.2,9.9,941.7,13.5,2024,1,1,1,8.6,0,Winter,0,Low
Manipur,2024-01-01,11.5,0.0,68.4,2.0,17.5,5.3,921.7,11.5,2024,1,1,1,15.5,0,Winter,0,Low
