Region,Date,Temperature_C,Precipitation_mm,Humidity_percent,Min_Temperature_C,Max_Temperature_C,Wind_Speed_kmh,Atmospheric_Pressure_hPa,Heat_Index_C
Andhra Pradesh,2024-01-01,19.3,19.7,68.0,13.5,25.4,18.1,987.5,19.3
Arunachal Pradesh,2024-01-01,-9.6,0.0,67.5,-16.6,-1.1,32.2,769.7,-9.6
Assam,2024-01-01,17.9,0.2,68.1,14.3,24.1,14.9,1013.6,17.9
Bihar,2024-01-01,17.1,0.7,78.3,13.0,17.3,6.9,998.4,17.1
Chhattisgarh,2024-01-01,16.6,0.4,70.5,10.7,22.6,11.9,986.8,16.6
Goa,2024-01-01,21.6,1.1,98.0,16.9,24.8,14.5,999.6,21.6
Gujarat,2024-01-01,14.0,0.0,22.3,6.2,22.9,11.3,1006.9,14.0
Haryana,2024-01-01,15.5,0.0,51.6,10.3,20.4,1.8,994.7,15.5
Himachal Pradesh,2024-01-01,-24.7,0.3,98.0,-35.0,-13.3,38.7,740.4,-24.7
Jharkhand,2024-01-01,16.2,0.7,70.7,14.1,17.7,10.4,989.7,16.2
Karnataka,2024-01-01,10.1,0.0,56.7,2.7,14.1,10.8,932.5,10.1
Kerala,2024-01-01,23.5,0.0,88.4,22.9,29.0,19.4,1013.3,23.5
Madhya Pradesh,2024-01-01,12.7,0.2,70.5,8.8,15.1,3.9,961.1,12.7
Maharashtra,2024-01-01,11.5,0.0,49.1,5.2,19.6,16.6,934.1,11.5
Manipur,2024-01-01,10.9,0.0,95.6,6.6,12.8,3.9,921.8,10.9
Meghalaya,2024-01-01,6.5,0.1,90.2,3.9,12.8,6.3,874.9,6.5
Mizoram,2024-01-01,11.9,1.0,81.3,2.2,19.7,5.1,897.9,11.9
Nagaland,2024-01-01,2.2,0.0,98.0,-8.0,11.4,11.8,867.1,2.2
Odisha,2024-01-01,13.0,0.3,81.0,5.5,20.8,11.5,1002.5,13.0
Punjab,2024-01-01,15.1,0.9,54.4,8.0,20.4,19.3,977.3,15.1
Rajasthan,2024-01-01,17.4,1.0,15.0,4.5,30.1,3.1,972.0,17.4
Sikkim,2024-01-01,-8.4,0.9,81.5,-18.4,2.5,36.3,785.5,-8.4
Tamil Nadu,2024-01-01,23.9,1.3,89.0,21.7,23.6,14.6,1008.6,23.9
Telangana,2024-01-01,23.0,1.3,44.1,19.0,28.0,10.1,958.2,23.0
Tripura,2024-01-01,13.2,0.0,91.9,8.5,19.1,6.8,1000.1,13.2
Uttar Pradesh,2024-01-01,16.8,0.0,67.5,7.8,21.2,2.8,999.8,16.8
Uttarakhand,2024-01-01,-9.1,1.2,61.3,-11.0,-4.4,34.1,862.5,-9.1
West Bengal,2024-01-01,24.6,0.0,77.9,14.4,31.5,7.4,1019.2,24.6
Andaman and Nicobar Islands,2024-01-01,19.4,0.0,98.0,18.0,20.8,30.7,1008.3,19.4
Chandigarh,2024-01-01,10.8,0.0,68.5,4.9,17.8,4.2,960.1,10.8
Dadra and Nagar Haveli and Daman and Diu,2024-01-01,27.3,0.0,80.4,26.9,31.7,7.5,1013.6,30.5
Delhi,2024-01-01,16.5,0.0,27.8,12.0,22.9,10.3,1005.6,16.5
Jammu and Kashmir,2024-01-01,-17.9,1.4,61.4,-24.3,-15.1,37.1,825.9,-17.9
Ladakh,2024-01-01,-36.1,0.6,15.0,-48.3,-23.9,15.5,600.1,-36.1
Lakshadweep,2024-01-01,23.7,0.0,98.0,17.7,31.4,19.4,1021.8,23.7
Puducherry,2024-01-01,26.7,0.0,89.1,22.7,34.3,24.2,1010.2,26.7
Andhra Pradesh,2024-01-02,15.4,6.3,70.2,10.8,22.5,9.8,993.7,15.4
Arunachal Pradesh,2024-01-02,-14.4,0.0,72.1,-25.2,-4.1,32.5,767.5,-14.4
Assam,2024-01-02,16.3,0.8,63.2,11.5,22.8,9.9,999.2,16.3
Bihar,2024-01-02,17.1,0.0,60.0,11.2,26.6,8.9,1019.0,17.1
Chhattisgarh,2024-01-02,20.1,1.0,79.5,12.6,26.9,8.3,983.5,20.1
Goa,2024-01-02,20.6,0.0,90.4,17.8,21.7,15.3,1021.3,20.6
Gujarat,2024-01-02,13.9,1.3,21.7,2.8,25.9,3.4,1005.0,13.9
Haryana,2024-01-02,12.6,0.0,48.7,7.8,16.2,6.5,984.5,12.6
Himachal Pradesh,2024-01-02,-18.3,0.9,81.8,-28.1,-6.7,31.7,743.2,-18.3
Jharkhand,2024-01-02,14.8,0.8,66.7,6.1,18.0,13.4,972.9,14.8
Karnataka,2024-01-02,9.9,0.0,60.5,3.7,13.8,7.7,916.1,9.9
Kerala,2024-01-02,25.0,1.6,97.4,23.8,26.9,19.3,1009.8,25.0
Madhya Pradesh,2024-01-02,16.1,0.0,64.4,10.4,18.4,10.3,949.5,16.1
Maharashtra,2024-01-02,14.6,6.0,58.2,8.4,20.4,10.4,949.4,14.6
Manipur,2024-01-02,9.7,0.5,62.9,0.0,20.7,9.9,929.0,9.7
